year    y            x
1978    1132.26      3678.7
1979    1146.38      4100.5
1980    1159.93      4587.6
1981    1175.79      4935.8
1982    1212.33      5373.4
1983    1366.95      6020.9
1984    1642.86      7278.5
1985    2004.82      9098.9
1986    2122.01      10376.2
1987    2199.35      12174.6
1988    2357.24      15180.4
1989    2664.90      17179.7
1990    2937.10      18872.9
1991    3149.48      22005.6
1992    3483.37      27194.5
1993    4348.95      35673.2
1994    5218.10      48637.5
1995    6242.20      61339.9
1996    7407.99      71813.6    
1997    8651.14      79715.0    
1998    9875.95      85195.5    
1999    11444.08     90564.4
2000    13395.23     100280.1
2001    16386.04     110863.1
2002    18903.64     121717.4
2003    21715.25     137422.0
2004    26396.47     161840.2
2005    31649.29     187318.9
2006    38760.20     219438.5
2007    51321.78     270232.3
2008    61330.35     319515.5
2009    68518.30     349081.4
2010    83101.51     413030.3
2011    103874.43    489300.6
2012    117253.52    540367.4
2013    129209.64    595244.4
2014    140370.03    643974.0
2015    152269.23    689052.1

