year    y        x1       x2
1981    280.0    3.909    9.43
1982    281.5    5.119    10.36
1983    337.4    6.666    14.50
1984    404.2    5.338    15.75
1985    402.1    4.321    16.78
1986    452.0    6.117    17.44
1987    431.7    5.559    19.77
1988    582.3    7.920    23.76
1989    596.6    5.816    31.61
1990    620.8    6.113    32.17
1991    513.6    4.258    35.09
1992    606.9    5.591    36.42
1993    629.0    6.675    36.58
1994    602.7    5.543    37.14
1995    656.7    6.933    41.30
1996    998.5    7.638    45.62
1997    877.6    7.752    47.38
