year    y       x      p1      p2      p3
1980    2.78    397    4.22    5.07    7.83
1981    2.99    413    3.81    5.2     7.92
1982    2.98    439    4.03    5.4     7.92
1983    3.08    459    3.95    5.53    7.92
1984    3.12    492    3.73    5.47    7.74
1985    3.33    528    3.81    6.37    8.02
1986    3.56    560    3.93    6.98    8.04
1987    3.64    624    3.78    6.59    8.39
1988    3.67    666    3.84    6.45    8.55
1989    3.84    717    4.01    7       9.37
1990    4.04    768    3.86    7.32    10.61
1991    4.03    843    3.98    6.78    10.48
1992    4.18    911    3.97    7.91    11.4
1993    4.04    931    5.21    9.54    12.41
1994    4.07    1021   4.89    9.42    12.76
1995    4.01    1165   5.83    12.35   14.29
1996    4.27    1349   5.79    12.99   14.36
1997    4.41    1449   5.67    11.76   13.92
1998    4.67    1575   6.37    13.09   16.55
1999    5.06    1759   6.16    12.98   20.33
2000    5.01    1994   5.89    12.8    21.96
2001    5.17    2258   6.64    14.1    22.16
2002    5.29    2478   7.04    16.82   23.26
