year    x          y
1980    910.9      1996.5
1981    961.0      2048.4
1982    1230.4     2162.3
1983    1430.1     2375.6
1984    1832.9     2789.0
1985    2543.2     3448.7
1986    3120.6     3967.0
1987    3791.7     4585.8
1988    4753.8     5777.2
1989    4410.4     6484.0
1990    4517.0     6858.0
1991    5594.5     8087.1
1992    8080.1     10284.5
1993    13072.3    14143.8
1994    17042.1    19359.6
1995    20019.3    24718.3
1996    22913.5    29082.6
1997    24941.1    32412.1
1998    28406.2    33387.9
1999    29854.71   35087.21
2000    32917.73   39570.3
