year    consumer   income     price
1978    344.88     388.32     1.000
1979    385.20     425.40     1.010
1980    474.72     526.92     1.062
1981    485.88     539.52     1.075
1982    496.56     576.72     1.081
1983    520.84     604.31     1.086
1984    599.64     728.17     1.106
1985    770.64     875.52     1.250
1986    949.08     1069.61    1.336
1987    1071.04    1187.49    1.426
1988    1278.87    1329.7     1.667
1989    1291.09    1477.77    1.912
1990    1440.47    1638.92    1.970
1991    1585.71    1844.98    2.171
1992    1907.17    2238.38    2.418
1993    2322.19    2769.26    2.844
1994    3301.37    3982.13    3.526
1995    4064.10    4929.53    4.066
1996    4679.61    5967.71    4.432
1997    5204.29    6608.56    4.569
1998    5471.01    7110.54    4.546
1999    5851.53    7649.83    4.496
2000    6121.07    8140.55    4.478
