year    y        x1       x2       x3        x4      x5
1971    10227    112.0    121.3    776.8     4.89    79367
1972    10872    111.0    125.3    839.6     4.55    82153
1973    11350    111.1    133.1    949.8     7.38    85064
1974    8775     117.5    147.7    1038.4    8.61    86794
1975    8539     127.6    161.2    1142.8    6.16    85846
1976    9994     135.7    170.5    1252.6    5.22    88752
1977    11046    142.9    181.5    1379.3    5.50    92017
1978    11164    153.8    195.3    1551.2    7.78    96048
1979    10559    166.0    217.7    1729.3    10.25   98824
1980    8979     179.3    247.0    1918.0    11.28   99303
1981    8535     190.2    272.3    2127.6    13.73   100397
1982    7980     197.6    286.6    2261.4    11.20   99526
1983    9179     202.6    297.4    2428.1    8.69    100834
1984    10394    208.5    307.6    2670.6    9.65    105005
1985    11039    215.2    318.5    2841.1    7.75    107150
1986    11450    224.4    323.4    3022.1    6.31    109597
