year    y         x1        x2        x3       x4       x5
1974    98.45     560.2     153.20    6.53     1.23     1.89
1975    100.70    603.11    190.00    9.12     1.30     2.03
1976    102.80    668.05    240.30    8.10     1.80     2.71
1977    133.95    715.47    301.12    10.10    2.09     3.00
1978    140.13    724.27    361.00    10.93    2.39     3.29
1979    143.11    736.13    420.00    11.85    3.90     5.24
1980    146.15    748.91    491.76    12.28    5.13     6.83
1981    144.60    760.32    501.00    13.50    5.47     8.36
1982    148.94    774.92    529.20    15.29    6.09     10.07
1983    158.55    785.30    552.72    18.10    7.97     12.57
1984    169.68    795.50    771.16    19.61    10.18    15.12
1985    162.14    804.80    811.80    17.22    11.79    18.25
1986    170.09    814.94    988.43    18.60    11.54    20.59
1987    178.69    828.73    1094.65   23.53    11.68    23.37
