year.quarter   S        D2    D3    D4
1993.1         4190     0     0     0
1993.2         4927     1     0     0
1993.3         6843     0     1     0
1993.4         6912     0     0     1
1994.1         4521     0     0     0
1994.2         5522     1     0     0
1994.3         5350     0     1     0
1994.4         7204     0     0     1
1995.1         4902     0     0     0
1995.2         5912     1     0     0
1995.3         5972     0     1     0
1995.4         7987     0     0     1
1996.1         5458     0     0     0
1996.2         6359     1     0     0
1996.3         6501     0     1     0
1996.4         8607     0     0     1
