year.quarter   y        x         D2   D3   D4
1965.1         10503    114862    0    0    0
1965.2         12092    123968    1    0    0
1965.3         10834    123545    0    1    0
1965.4         12201    131917    0    0    1
1966.1         12245    129911    0    0    0
1966.2         14001    140976    1    0    0
1966.3         12213    137828    0    1    0
1966.4         12820    145465    0    0    1
1967.1         11349    136989    0    0    0
1967.2         12615    145126    1    0    0
1967.3         11014    141536    0    1    0
1967.4         12730    151776    0    0    1
1968.1         12539    148862    0    0    0
1968.2         14849    153913    1    0    0
1968.3         13203    155727    0    1    0
1968.4         14947    168409    0    0    1
1969.1         14151    162781    0    0    0
1969.2         15949    176057    1    0    0
1969.3         14024    172419    0    1    0
1969.4         14315    183327    0    0    1
1970.1         12381    170415    0    0    0
1970.2         13991    181313    1    0    0
1970.3         12174    176712    0    1    0
1970.4         10985    180370    0    0    1
