sample   Y    SCORE  D1
1        1    401    1
2        1    401    0
3        1    392    1
4        1    387    0
5        1    384    1
6        1    379    0
7        1    378    0
8        1    378    0
9        1    376    1
10       1    371    0
11       1    362    0
12       1    362    1
13       1    361    1
14       0    359    1
15       0    358    1
16       1    356    1
17       0    356    1
18       0    355    1
19       0    354    1
20       0    354    0
21       0    353    1
22       0    350    0
23       0    349    0
24       0    349    0
25       0    348    1
26       0    347    1
27       0    347    1
28       0    344    1
29       0    339    1
30       0    338    0
31       0    338    1
32       0    336    1
33       0    334    0
34       0    332    1
35       0    332    1
36       0    332    1
37       0    331    1
38       0    330    1
39       0    328    1
40       0    328    1
41       0    328    1
42       0    321    1
43       0    321    1
44       0    318    1
45       0    318    0
46       0    316    1
47       0    308    0
48       0    308    1
49       0    304    0
50       0    303    1
51       0    303    1
52       0    299    1
53       0    297    1
54       0    294    0
55       0    293    1
56       0    293    1
57       0    292    0
58       0    291    1
59       0    291    1
60       0    287    1
61       0    286    1
62       0    286    0
63       0    282    1
64       0    282    1
65       0    282    0
66       0    278    0
67       0    275    0
68       0    273    0
69       0    273    1
70       0    272    1
71       0    267    0
72       0    266    1
73       0    263    1
74       0    261    1
75       0    260    0
76       0    256    0
77       0    252    0
78       0    252    1
79       0    245    1
80       0    243    1
81       0    242    0
82       0    241    0
83       0    239    1
84       0    235    0
85       0    232    0
86       0    228    1
87       0    219    1
88       0    219    1
89       0    214    1
90       0    210    1
91       0    204    1
92       0    198    0
93       0    189    1
94       0    188    1
95       0    182    1
96       0    166    1
97       0    123    0
