year    x         y
1975    26.480    45.069
1976    27.740    50.642
1977    28.236    51.871
1978    27.280    52.070
1979    30.219    52.709
1980    30.796    53.814
1981    30.896    54.939
1982    33.113    58.123
1983    35.032    60.043
1984    37.335    63.383
1985    41.003    68.221
1986    44.869    77.965
1987    46.449    84.655
1988    50.282    90.815
1989    53.555    97.074
1990    52.859    101.640
1991    55.917    102.440
1992    62.017    107.710
1993    71.398    120.870
1994    82.078    147.130
